;Runden_gesamt;Don;Flo;Gero;Marco;Toni;Juergen;Frind;Majo;Domi;Elias;Tobi;;;;;;;;;;
12.09.;718;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;719;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;720;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;721;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;722;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;723;0;;;0;2;;2;;;;;;;;;;;;;;
12.09.;724;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;725;0;;;0;0;;1;;;;;;;;;;;;;;
12.09.;726;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;727;2;;;0;0;;2;;;;;;;;;;;;;;
12.09.;728;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;729;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;730;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;731;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;732;0;;;0;0;;1;;;;;;;Notiz:;Datei;vom;20.09.;leider;nicht;mehr;vorhanden!
02.10.;733;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;734;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;735;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;736;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;737;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;738;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;739;0;;;0;0;;1;;;;;;;;;;;;;;
02.10.;740;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;741;0;;;0;1;;0;;;;;;;;;;;;;;
02.10.;742;0;;;2;0;;2;;;;;;;;;;;;;;
02.10.;743;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;744;0;;;0;0;;1;;;;;;;;;;;;;;
02.10.;745;0;;;0;1;;0;;;;;;;;;;;;;;
02.10.;746;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;747;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;748;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;749;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;750;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;751;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;752;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;753;2;;;0;0;;2;;;;;;;;;;;;;;
03.10.;754;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;755;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;756;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;757;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;758;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;759;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;760;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;761;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;762;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;763;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;764;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;765;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;766;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;767;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;768;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;769;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;770;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;771;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;772;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;773;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;774;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;775;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;776;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;777;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;778;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;779;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;780;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;781;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;782;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;783;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;784;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;785;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;786;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;787;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;788;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;789;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;790;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;791;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;792;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;793;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;794;0;;;2;2;;0;;;;;;;;;;;;;;
03.10.;795;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;796;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;797;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;798;0;;;2;2;;0;;;;;;;;;;;;;;
03.10.;799;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;800;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;801;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;802;1;;;0;0;;0;;;;;;;;;;;;;;
30.10.;803;1;;;0;0;;0;;;;;;;;;;;;;;
30.10.;804;0;;;0;0;;1;;;;;;;;;;;;;;
30.10.;805;0;;;0;1;;0;;;;;;;;;;;;;;
30.10.;806;0;;;0;0;;1;;;;;;;;;;;;;;
30.10.;807;0;;;0;1;;0;;;;;;;;;;;;;;
30.10.;808;0;1;0;0;;;;;;;;;;;;;;;;;
30.10.;809;0;0;1;0;;;;;;;;;;;;;;;;;
30.10.;810;0;1;0;0;;;;;;;;;;;;;;;;;
30.10.;811;1;0;0;0;;;;;;;;;;;;;;;;;
30.10.;812;1;0;0;0;;;;;;;;;;;;;;;;;
30.10.;813;;;0;0;0;;1;;;;;;;;;;;;;;
30.10.;814;;;1;0;0;;0;;;;;;;;;;;;;;
30.10.;815;;;1;0;0;;0;;;;;;;;;;;;;;
30.10.;816;;;0;0;1;;0;;;;;;;;;;;;;;
30.10.;817;;;0;0;1;;0;;;;;;;;;;;;;;
30.10.;818;0;0;;1;;;0;;;;;;;;;;;;;;
30.10.;819;0;0;;0;;;1;;;;;;;;;;;;;;
30.10.;820;0;0;;1;;;0;;;;;;;;;;;;;;
30.10.;821;0;0;;0;;;1;;;;;;;;;;;;;;
30.10.;822;0;0;;0;;;1;;;;;;;;;;;;;;
30.10.;823;0;1;;0;0;;;;;;;;;;;;;;;;
30.10.;824;0;1;;0;0;;;;;;;;;;;;;;;;
30.10.;825;0;1;;0;0;;;;;;;;;;;;;;;;
30.10.;826;1;0;;0;0;;;;;;;;;;;;;;;;
30.10.;827;0;0;;0;1;;;;;;;;;;;;;;;;
30.10.;828;0;;0;;0;;1;;;;;;;;;;;;;;
30.10.;829;0;;1;;0;;0;;;;;;;;;;;;;;
30.10.;830;0;;0;;1;;0;;;;;;;;;;;;;;
30.10.;831;0;;0;;1;;0;;;;;;;;;;;;;;
30.10.;832;1;;0;;0;;0;;;;;;;;;;;;;;
30.10.;833;0;;1;0;;;0;;;;;;;;;;;;;;
30.10.;834;0;;1;0;;;0;;;;;;;;;;;;;;
30.10.;835;0;;0;1;;;0;;;;;;;;;;;;;;
30.10.;836;0;;0;1;;;0;;;;;;;;;;;;;;
30.10.;837;0;;0;0;;;1;;;;;;;;;;;;;;
30.10.;838;1;;0;;0;;0;;;;;;;;;;;;;;
30.10.;839;0;;0;;0;;1;;;;;;;;;;;;;;
30.10.;840;0;;0;;1;;0;;;;;;;;;;;;;;
30.10.;841;0;;0;;0;;1;;;;;;;;;;;;;;
30.10.;842;1;;0;;0;;0;;;;;;;;;;;;;;
31.10.;843;0;1;;;0;;;;;;;;;;;;;;;;
31.10.;844;0;0;;1;0;;;;;;;;;;;;;;;;
31.10.;845;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;846;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;847;0;0;;0;1;;;;;;;;;;;;;;;;
31.10.;848;0;0;;0;1;;;;;;;;;;;;;;;;
31.10.;849;0;0;;1;0;;;;;;;;;;;;;;;;
31.10.;850;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;851;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;852;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;853;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;854;0;0;;0;1;;;;;;;;;;;;;;;;
31.10.;855;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;856;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;857;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;858;1;0;;0;0;;;;;;;;;;;;;;;;
07.11.;859;0;1;0;0;0;;;;;;;;;;;;;;;;
07.11.;860;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;861;0;1;0;0;0;;;;;;;;;;;;;;;;
07.11.;862;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;863;0;0;1;0;0;;;;;;;;;;;;;;;;
07.11.;864;0;0;1;0;0;;;;;;;;;;;;;;;;
07.11.;865;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;866;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;867;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;868;0;1;0;0;0;;;;;;;;;;;;;;;;
07.11.;869;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;870;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;871;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;872;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;873;0;0;0;1;0;;;;;;;;;;;;;;;;
07.11.;874;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;875;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;876;0;1;0;0;0;;;;;;;;;;;;;;;;
07.11.;877;0;0;1;0;0;;;;;;;;;;;;;;;;
07.11.;878;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;879;1;;0;;0;;;;0;;;;;;;;;;;;
07.11.;880;0;;0;;1;;;;0;;;;;;;;;;;;
07.11.;881;0;;1;;0;;;;0;;;;;;;;;;;;
07.11.;882;1;;0;;0;;;;0;;;;;;;;;;;;
07.11.;883;1;;0;;0;;;;0;;;;;;;;;;;;
07.11.;884;0;;0;;1;;;;0;;;;;;;;;;;;
07.11.;885;0;;0;;0;;;;1;;;;;;;;;;;;
07.11.;886;;;0;;0;;;;1;;;;;;;;;;;;
07.11.;887;;;0;;1;;;;0;;;;;;;;;;;;
07.11.;888;;;0;;0;;;;1;;;;;;;;;;;;
07.11.;889;;;0;;0;;;;1;;;;;;;;;;;;
07.11.;890;;;1;;0;;;;0;;;;;;;;;;;;
07.11.;891;;;0;;0;;;;1;;;;;;;;;;;;
07.11.;892;;;0;;0;;;;1;;;;;;;;;;;;
27.11.;893;0;;;;1;;0;;;;;;;;;;;;;;
27.11.;894;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;895;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;896;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;897;0;;;;1;;0;;;;;;;;;;;;;;
27.11.;898;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;899;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;900;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;901;0;;;;1;;0;;;;;;;;;;;;;;
27.11.;902;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;903;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;904;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;905;0;;;;1;;0;;;;;;;;;;;;;;
27.11.;906;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;907;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;908;0;;;;1;;0;;;;;;;;;;;;;;
27.11.;909;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;910;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;911;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;912;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;913;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;914;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;915;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;916;1;;;;0;;0;;;;;;;;;;;;;;
27.11.;917;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;918;0;;;;0;;1;;;;;;;;;;;;;;
27.11.;919;;;0;;;;;;0;0;1;;;;;;;;;;
27.11.;920;;;0;;;;;;0;1;0;;;;;;;;;;
27.11.;921;;;0;;;;;;0;0;1;;;;;;;;;;
27.11.;922;;;0;;;;;;1;0;0;;;;;;;;;;
27.11.;923;;;0;;;;;;0;0;1;;;;;;;;;;
27.11.;924;;;0;;;;;;1;0;0;;;;;;;;;;
27.11.;925;;;0;;;;;;2;0;2;;;;;;;;;;
27.11.;926;;;0;;;;;;1;0;0;;;;;;;;;;
27.11.;927;;;0;;;;;;0;0;1;;;;;;;;;;
27.11.;928;;;0;;;;;;0;1;0;;;;;;;;;;
28.11.;929;1;;0;0;0;;;;;;;;;;;;;;;;
28.11.;930;0;;0;0;1;;;;;;;;;;;;;;;;
28.11.;931;0;;2;2;0;;;;;;;;;;;;;;;;
28.11.;932;0;;0;1;0;;;;;;;;;;;;;;;;
28.11.;933;0;;0;1;0;;;;;;;;;;;;;;;;
28.11.;934;0;;0;0;0;;1;;;;;;;;;;;;;;
28.11.;935;1;;0;0;0;;0;;;;;;;;;;;;;;
28.11.;936;0;;0;0;0;;1;;;;;;;;;;;;;;
28.11.;937;0;;1;0;0;;0;;;;;;;;;;;;;;
28.11.;938;0;;0;0;1;;0;;;;;;;;;;;;;;
28.11.;939;0;;0;0;1;;0;;;;;;;;;;;;;;
28.11.;940;0;;0;0;1;;0;;;;;;;;;;;;;;
28.11.;941;1;;0;0;0;;0;;;;;;;;;;;;;;
28.11.;942;0;;0;0;0;;1;;;;;;;;;;;;;;
28.11.;943;1;;0;0;0;;0;;;;;;;;;;;;;;
28.11.;944;1;;0;0;0;;0;;;;;;;;;;;;;;
04.12.;945;;0;0;;;;;;;;1;;;;;;;;;;
04.12.;946;;1;0;;;;;;;;0;;;;;;;;;;
04.12.;947;;0;0;;;;;0;;;1;;;;;;;;;;
04.12.;948;;0;0;;;;;0;;;1;;;;;;;;;;
04.12.;949;;1;0;;;;;0;;;0;;;;;;;;;;
04.12.;950;;0;1;;;;;0;;;0;;;;;;;;;;
04.12.;951;;1;0;;;;;0;;;0;;;;;;;;;;
04.12.;952;;1;0;;;;;0;;;0;;;;;;;;;;
04.12.;953;;0;0;;;;;0;;;1;;;;;;;;;;
04.12.;954;;0;1;;;;;0;;;0;;;;;;;;;;
05.12.;955;0;1;;;0;;;;;;;;;;;;;;;;
05.12.;956;0;1;;;0;;;;;;;;;;;;;;;;
05.12.;957;0;0;;;1;;;;;;;;;;;;;;;;
05.12.;958;0;1;;;0;;;;;;;;;;;;;;;;
05.12.;959;0;1;;;0;;;;;;;;;;;;;;;;
05.12.;960;1;0;;;0;;;;;;;;;;;;;;;;
05.12.;961;1;0;;;0;;;;;;;;;;;;;;;;
05.12.;962;0;1;;;0;;;;;;;;;;;;;;;;
05.12.;963;0;1;;;0;;;;;;;;;;;;;;;;
05.12.;964;1;0;;;0;;0;;;;;;;;;;;;;;
05.12.;965;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;966;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;967;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;968;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;969;1;0;;;0;;0;;;;;;;;;;;;;;
05.12.;970;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;971;0;0;;;1;;0;;;;;;;;;;;;;;
05.12.;972;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;973;0;0;;;1;;0;;;;;;;;;;;;;;
05.12.;974;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;975;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;976;0;0;;;1;;0;;;;;;;;;;;;;;
05.12.;977;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;978;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;979;1;0;;;0;;0;;;;;;;;;;;;;;
05.12.;980;0;0;;;1;;0;;;;;;;;;;;;;;
05.12.;981;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;982;1;0;;;0;;0;;;;;;;;;;;;;;
05.12.;983;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;984;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;985;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;986;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;987;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;988;0;0;;;0;;1;;;;;;;;;;;;;;
05.12.;989;1;0;;;0;;0;;;;;;;;;;;;;;
05.12.;990;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;991;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;992;0;1;;;0;;0;;;;;;;;;;;;;;
05.12.;993;1;0;;;0;;0;;;;;;;;;;;;;;
05.12.;994;0;;;;1;;0;;;;;;;;;;;;;;
05.12.;995;0;;;;0;;1;;;;;;;;;;;;;;
05.12.;996;0;;;;0;;1;;;;;;;;;;;;;;
05.12.;997;0;;;;1;;0;;;;;;;;;;;;;;
05.12.;998;1;;;;0;;0;;;;;;;;;;;;;;
05.12.;999;1;;;;0;;0;;;;;;;;;;;;;;
05.12.;1000;0;;;;0;;1;;;;;;;;;;;;;;
05.12.;1001;1;;;;0;;0;;;;;;;;;;;;;;
05.12.;1002;0;;;;0;;1;;;;;;;;;;;;;;
05.12.;1003;2;;;;0;;2;;;;;;;;;;;;;;
05.12.;1004;0;;;;0;;1;;;;;;;;;;;;;;
05.12.;1005;1;;;;0;;0;;;;;;;;;;;;;;
05.12.;1006;1;;;;0;;0;;;;;;;;;;;;;;
05.12.;1007;1;;;;0;;0;;;;;;;;;;;;;;
23.12.;1008;0;;1;0;0;;0;;;;;;;;;;;;;;
23.12.;1009;0;;0;1;0;;0;;;;;;;;;;;;;;
23.12.;1010;0;;1;0;0;;0;;;;;;;;;;;;;;
23.12.;1011;0;;0;0;0;;1;;;;;;;;;;;;;;
23.12.;1012;0;;0;0;1;;0;;;;;;;;;;;;;;
23.12.;1013;0;;0;0;0;;1;;;;;;;;;;;;;;
23.12.;1014;1;;0;0;0;;0;;;;;;;;;;;;;;
23.12.;1015;0;;0;0;1;;0;;;;;;;;;;;;;;
23.12.;1016;0;;0;1;0;;0;;;;;;;;;;;;;;
23.12.;1017;0;;0;0;0;;1;;;;;;;;;;;;;;
23.12.;1018;1;;0;0;0;;0;;;;;;;;;;;;;;
23.12.;1019;1;;0;0;0;;0;;;;;;;;;;;;;;
23.12.;1020;0;;1;0;0;;0;;;;;;;;;;;;;;
23.12.;1021;1;;0;0;0;;0;;;;;;;;;;;;;;
23.12.;1022;0;;0;1;0;;0;;;;;;;;;;;;;;
23.12.;1023;0;;1;0;0;;0;;;;;;;;;;;;;;
23.12.;1024;0;;1;0;0;;0;;;;;;;;;;;;;;
23.12.;1025;1;;0;0;0;;0;;;;;;;;;;;;;;
23.12.;1026;1;;0;0;0;;0;;;;;;;;;;;;;;
23.12.;1027;0;;0;0;0;;1;;;;;;;;;;;;;;
23.12.;1028;0;;0;1;0;;0;;;;;;;;;;;;;;
23.12.;1029;0;;0;0;1;;0;;;;;;;;;;;;;;
23.12.;1030;0;;0;0;0;;1;;;;;;;;;;;;;;
23.12.;1031;1;;0;0;0;;0;;;;;;;;;;;;;;
23.12.;1032;0;;1;0;0;;0;;;;;;;;;;;;;;
23.12.;1033;0;;0;0;0;;1;;;;;;;;;;;;;;
23.12.;1034;0;;0;0;1;;0;;;;;;;;;;;;;;
23.12.;1035;0;;0;0;0;;1;;;;;;;;;;;;;;
29.12;1036;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1037;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1038;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1039;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1040;0;;;1;0;;;;;;;;;;;;;;;;
29.12;1041;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1042;0;;;1;0;;;;;;;;;;;;;;;;
29.12;1043;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1044;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1045;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1046;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1047;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1048;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1049;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1050;0;;;1;0;;;;;;;;;;;;;;;;
29.12;1051;0;;;1;0;;;;;;;;;;;;;;;;
29.12;1052;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1053;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1054;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1055;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1056;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1057;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1058;0;;;1;0;;;;;;;;;;;;;;;;
29.12;1059;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1060;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1061;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1062;1;;;0;0;;;;;;;;;;;;;;;;
29.12;1063;0;;;0;1;;;;;;;;;;;;;;;;
29.12;1064;2;;;0;2;;;;;;;;;;;;;;;;